Name|Counter
4K Capture Utility|101
7-Zip|5
Access|49
ACDSee Pro|149
Acrobat Reader|21
Advanced IP Scanner|150
Advanced Renamer|201
After Effects|102
AIMP|50
AkelPad|151
Angry IP Scanner|152
Animate|103
AnyDesk|51
AnythingLLM|153
ares|202
Attribute Changer|203
Audacity|52
Audition|104
AutoCAD|105
AutoHotkey|204
Azure Data Studio|281
Balabolka|154
Bandizip|53
Base|54
BasicMaker|55
Battle.net|56
Beyond Compare|33
BGB|261
BlastEm|205
BleachBit|206
Blender|57
BlueStacks|282
Brave|58
Bridge|106
bsnes|207
Bulk Rename Utility|208
Burp Suite Community Edition|155
Calc|59
calibre|156
Camera Hub|301
CapCut|107
Capture2Text|283
Character Animator|108
Charles Proxy|157
CherryTree|34
Chrome|6
ComfyUI|302
CPU-Z|158
CrystalDiskInfo|35
CrystalDiskMark|262
CurseForge|303
Cursor|304
CyberChef|159
CyberGhost|109
darktable|160
DaVinci Resolve Studio|305
DaVinci Resolve|60
DBeaver|22
DbSchema|23
DC++|263
DeSmuME|209
DevToys|13
Directory Opus|210
Discord|161
Disk Drill|211
DiskGenius|212
DMDE|213
Docker Desktop|41
Dolphin|214
draw.io|162
Draw|61
Dreamweaver|110
Driver Store Explorer|163
DuckStation|215
Edge|7
Elgato Control Center|306
Emulicious|264
Epic Games Launcher|111
Epic Pen|284
Everything|8
Exact Audio Copy|265
ExactFile|216
Excel|1
ExitLag|307
Express Zip|266
ExpressVPN|112
f.lux|217
FastStone Image Viewer|62
Fiddler Classic|164
Fiddler Everywhere|165
FileOptimizer|42
FileZilla|43
Firefox|9
Fireworks|113
FL Studio|308
Flash Professional|114
Flycast|218
FontBase|166
foobar2000|63
Foxit PDF Reader|24
FreeCAD|167
FreeCommander XE|285
FreeFileSync|64
FreeMind|219
Fusion Studio|309
G HUB|310
Genymotion Desktop|286
GIMP|44
GitHub Desktop|36
GlassWire|168
Godot Engine|311
GoldWave|220
Google Earth Pro|65
Gopher64|221
GoXLR App|115
Gpg4win|66
GPT4All|169
GPU-Z|222
Greenshot|67
GtkHash|68
Gyazo|312
HandBrake|69
HeidiSQL|223
Hoppscotch|170
HTTP Toolkit|171
HWiNFO|45
HWMonitor|267
HxD|268
Icon Editor Pro|269
Iconset|172
iCUE|313
Illustrator|116
ImgBurn|70
Impress|71
InCopy|117
InDesign|118
Inkscape|46
Insomnia|173
Internet Download Manager|47
IObit Unlocker|224
IrfanView|37
iTubeGo|72
Ivanti Secure Access Client|225
IVPN Client|119
IZArc|270
Jabber|287
Jan|174
Joplin|226
KeePass|14
Keyboard Chatter Blocker|73
Krita|74
Kyno|175
LatencyMon|176
Ledger Live|75
Ledger Wallet|288
Levelator|227
LibreWolf|228
Lightroom Classic|120
Lightroom|121
Lightworks|122
LM Studio|177
LocalSend|229
LockHunter|230
Logi Options+|289
Logitech Options|290
MainType|178
MAME|271
Math|76
Media Encoder|123
Mednafen|231
melonDS|232
MEmu Play|291
Merge|233
Mesen|234
MeshLab|235
Mp3tag|272
MPC-BE|77
Msty Studio|179
Mullvad Browser|124
Mullvad VPN|125
Nestopia UE|236
NetLimiter|180
Nexus Mods App|314
NordVPN|126
Notepad++|2
Notion|237
NVIDIA App|181
O&O ShutUp10++|238
OBS Studio|15
Obsidian|127
Ollama|182
OneNote|78
OpenToonz|239
Opera|79
OSForensics|183
Outlook|25
Paint Shop Pro|16
Paint.NET|26
PCSX2|240
PeaZip|80
Pencil2D Animation|292
PhotoDirector 365|273
PhotoLine|274
Photoshop|128
Pinokio|241
PlanMaker|81
Postman|82
Power BI Desktop|83
Power BI Report Builder|293
PowerArchiver|275
PowerPoint|10
PowerToys|48
Prelude|129
Premiere Pro|130
Premiere Rush|131
Presentations|84
PresentMon|242
Private Internet Access|132
Process Explorer|184
Process Lasso|243
Proton VPN|133
Proximity|294
Publisher|85
Pulover's Macro Creator|38
puNES|244
PureRef|185
PuTTY|27
qBittorrent|17
REAPER|186
Recuva|245
Redream|246
RegexBuddy|86
Regshot|187
RetroArch|247
RODECaster App|248
Rosalie's Mupen GUI|249
RPCS3|250
Rufus|188
Ryujinx|251
SameBoy|276
ScreenToGif|28
ShareX|252
Shotcut|134
Shutter Encoder|253
Slack|87
SmartFTP|277
Snes9x|254
SoapUI|295
Social Stream Ninja|315
Sononym|189
Sound Forge Audio Studio|255
Speccy|190
Spotify|88
SQL Developer|296
SQL Server Management Studio|3
StartAllBack|29
Steam|89
Stream Deck|90
Streamer.bot|316
Streamlabs Desktop|135
Substance 3D Designer|136
Substance 3D Modeler|137
Substance 3D Painter|138
Substance 3D Sampler|139
Substance 3D Stager|140
Sumatra PDF|297
SuperPuTTY|298
Surfshark|141
Synfig Studio|256
SysTracer|191
Tableau Desktop|91
TablePlus|257
TeamViewer|317
TeraCopy|92
TextMaker|93
Thunderbird|142
TightVNC|94
Toad for Oracle|4
Toad for SQL Server|299
Topaz Gigapixel|192
Topaz Photo|193
Topaz Video|194
TreeSize|95
Trezor Suite|96
TrueCrypt|11
UltraEdit|258
UNIFY|143
Unity Hub|318
Unreal Editor|319
Upscayl|259
VeraCrypt|30
VirtualBox|144
Visual Studio Code|18
Visual Studio|31
VLC media player|97
vMix|145
Voicemeeter Banana|195
Voicemod|278
VyprVPN|146
Waterfox|147
Wave Link|196
WaveLab Pro|197
WinDirStat|98
Windscribe|148
WinMerge|99
WinRAR|32
WinSCP|19
WinUAE|279
WinZip|280
Wirecast|320
Wireshark|198
WizTree|39
WMI Explorer|260
Word|12
Workstation Pro|20
WPS Office|199
Writer|100
XnView MP|40
Yubico Authenticator|300
ZenTimings|200