Vendor ID|Vendor Name|Added On Date|Source
ACR|Acer|2025-10-18|https://en.wikipedia.org/wiki/Acer_Inc.
AOC|AOC|2025-10-18|https://bbs.archlinux.org/viewtopic.php?id=296422
APP|Apple|2025-10-18|https://en.wikipedia.org/wiki/Apple_Inc.
AUS|ASUS|2025-10-18|https://en.wikipedia.org/wiki/Asus
BNQ|BenQ|2025-10-18|https://askubuntu.com/questions/296373/how-can-i-get-the-nvidia-driver-to-drive-my-projector-at-1280x720
CAI|Canon|2025-10-18|https://en.wikipedia.org/wiki/Canon_Inc.
CDT|IBM|2025-10-18|https://en.wikipedia.org/wiki/IBM
CHE|Acer|2025-10-18|https://en.wikipedia.org/wiki/Acer_Inc.
CNN|Canon|2025-10-18|https://en.wikipedia.org/wiki/Canon_Inc.
CPQ|Compaq|2025-10-18|https://en.wikipedia.org/wiki/Compaq
DEL|Dell|2025-10-18|https://en.wikipedia.org/wiki/Dell
DLL|Dell|2025-10-18|https://en.wikipedia.org/wiki/Dell
EGD|EIZO|2025-10-18|https://en.wikipedia.org/wiki/Eizo
ENC|EIZO|2025-10-18|https://en.wikipedia.org/wiki/Eizo
ERS|EIZO|2025-10-18|https://en.wikipedia.org/wiki/Eizo
ETG|EIZO|2025-10-18|https://en.wikipedia.org/wiki/Eizo
FDT|Fujitsu|2025-10-18|https://en.wikipedia.org/wiki/Fujitsu
FGL|Fujitsu|2025-10-18|https://en.wikipedia.org/wiki/Fujitsu
FJS|Fujitsu|2025-10-18|https://en.wikipedia.org/wiki/Fujitsu
FML|Fujitsu|2025-10-18|https://en.wikipedia.org/wiki/Fujitsu
FNI|Funai|2025-10-18|https://en.wikipedia.org/wiki/Funai
FPE|Fujitsu|2025-10-18|https://en.wikipedia.org/wiki/Fujitsu
FTL|Fujitsu|2025-10-18|https://en.wikipedia.org/wiki/Fujitsu
FUJ|Fujitsu|2025-10-18|https://en.wikipedia.org/wiki/Fujitsu
GGL|Google|2025-10-18|https://en.wikipedia.org/wiki/Google
GSM|LG|2025-10-18|https://en.wikipedia.org/wiki/GoldStar
GWY|Gateway|2025-10-18|https://en.wikipedia.org/wiki/Gateway,_Inc.
HIT|Hitachi|2025-10-18|https://en.wikipedia.org/wiki/Hitachi
HPN|HP|2025-10-18|https://en.wikipedia.org/wiki/HP_Inc.
HTC|Hitachi|2025-10-18|https://en.wikipedia.org/wiki/Hitachi
HWP|HP|2025-10-18|https://en.wikipedia.org/wiki/HP_Inc.
IBM|IBM|2025-10-18|https://en.wikipedia.org/wiki/IBM
ICO|Intel|2025-10-18|https://en.wikipedia.org/wiki/Intel
IVM|iiyama|2025-10-18|https://en.wikipedia.org/wiki/Iiyama_(company)
KNC|Konica|2025-10-18|https://en.wikipedia.org/wiki/Konica
KYK|Samsung|2025-10-18|https://en.wikipedia.org/wiki/Samsung_Electronics
LEN|Lenovo|2025-10-18|https://en.wikipedia.org/wiki/Lenovo
LGD|LG|2025-10-18|https://en.wikipedia.org/wiki/LG
LGS|LG|2025-10-18|https://en.wikipedia.org/wiki/LG
MEI|Panasonic|2025-10-18|https://en.wikipedia.org/wiki/Panasonic
MEL|Mitsubishi|2025-10-18|https://en.wikipedia.org/wiki/Mitsubishi_Electric
MSG|MSI|2025-10-18|https://en.wikipedia.org/wiki/Micro-Star_International
NEC|NEC|2025-10-18|https://en.wikipedia.org/wiki/NEC
NOK|Nokia|2025-10-18|https://en.wikipedia.org/wiki/Nokia
PBL|Packard Bell|2025-10-18|https://en.wikipedia.org/wiki/Packard_Bell
PBN|Packard Bell|2025-10-18|https://en.wikipedia.org/wiki/Packard_Bell
PGS|Princeton|2025-10-18|https://en.wikipedia.org/wiki/Princeton_(electronics_company)
PHL|Philips|2025-10-18|https://en.wikipedia.org/wiki/Philips
QCP|Qualcomm|2025-10-18|https://en.wikipedia.org/wiki/Qualcomm
SAM|Samsung|2025-10-18|https://en.wikipedia.org/wiki/Samsung_Electronics
SDC|Samsung|2025-10-18|https://en.wikipedia.org/wiki/Samsung_Electronics
SDT|Siemens|2025-10-18|https://en.wikipedia.org/wiki/Siemens
SEC|Epson|2025-10-18|https://en.wikipedia.org/wiki/Epson
SEM|Samsung|2025-10-18|https://en.wikipedia.org/wiki/Samsung_Electronics
SHP|Sharp|2025-10-18|https://en.wikipedia.org/wiki/Sharp_Corporation
SIA|Siemens|2025-10-18|https://en.wikipedia.org/wiki/Siemens
SKT|Samsung|2025-10-18|https://en.wikipedia.org/wiki/Samsung_Electronics
SNI|Siemens|2025-10-18|https://en.wikipedia.org/wiki/Siemens
SPT|Sceptre|2025-10-18|https://www.sceptre.com/support/profiles.html
SSE|Samsung|2025-10-18|https://en.wikipedia.org/wiki/Samsung_Electronics
STN|Samsung|2025-10-18|https://en.wikipedia.org/wiki/Samsung_Electronics
TSB|Toshiba|2025-10-18|https://en.wikipedia.org/wiki/Toshiba
TTP|Toshiba|2025-10-18|https://en.wikipedia.org/wiki/Toshiba
VSC|ViewSonic|2025-10-18|https://en.wikipedia.org/wiki/ViewSonic